id_hecho,tipo_hecho,provincia_nombre,departamento_nombre,fecha_hecho,hora_hecho,cant_inculpados,cant_victimas,tipo_lugar,tipo_lugar_otro,tipo_lugar_ampliado,clase_arma,clase_arma_otro,en_ocasion_otro_delito,en_ocasion_otro_delito_otro,victima_sexo,victima_identidad_genero,victima_identidad_genero_otro,victima_clase,victima_clase_otro,victima_situacion_ocupacional,victima_situacion_ocupacional_otro,victima_relacion,victima_edad,inculpado_sexo,inculpado_identidad_genero,inculpado_edad,inculpado_clase,inculpado_relacion
7784,HD M,Entre Ríos,Federación,12/3/2021,6:30:00,1,1,Vía pública,,Vía pública,Arma blanca,,No,,M,M,-----------,C,-------,SD,---------,Otras relaciones no familiares,20-24,M,M,15-19,C,Otras relaciones no familiares
7785,HD F Cis Trans Travesti-Femicidio,Entre Ríos,Victoria,15/3/2021,1:30:00,1,1,Domicilio particular,,Domicilio particular,Arma blanca,,No,Violencia de género,F,F,-----------,C,-------,Empleado de otros sectores,---------,Conyuge/ pareja,30-34,M,M,40-44,C,Conyuge/ pareja
7786,HD M,Tucumán,Capital,3/1/2020,8:10:00,1,1,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,SD,---------,No,25-29,M,M,SD,Policía en servicio,No
7787,HD M,Tucumán,Burruyacú,5/1/2020,21:00:00,1,1,Domicilio particular,,Domicilio particular,Ahorcamiento / asfixia,,Sí robo,,M,M,-----------,C,-------,SD,---------,Otros vínculos familiares,75-79,M,M,SD,C,Otros vínculos familiares
7788,HD F Cis Trans Travesti-Femicidio,Tucumán,Capital,20/1/2020,11:20:00,1,1,Domicilio particular,,Domicilio particular,Objeto contundente,,No,Femicidio,F,F,-----------,C,-------,SD,---------,Conyuge/ pareja,30-34,M,M,55-59,SD,Conyuge/ pareja
7789,HD M,Tucumán,Capital,21/1/2020,8:30:00,2,1,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,SD,---------,SD,35-39,M,M,SD,Policía en servicio,SD
7790,HD M,Tucumán,Capital,26/1/2020,22:20:00,1,1,Domicilio particular,,Domicilio particular,Arma de fuego,,SD,,M,M,-----------,C,-------,SD,---------,SD,25-29,M,M,SD,SD,SD
7791,HD M,Tucumán,Capital,26/1/2020,1:10:00,1,1,Vía pública,,Vía pública,Arma de fuego,,SD,,M,M,-----------,C,-------,SD,---------,SD,20-24,M,M,SD,SD,SD
7792,HD M,Tucumán,Yerba Buena,1/5/2020,0:00:01,1,1,Domicilio particular,,Domicilio particular,Arma de fuego,,Sí robo,,M,M,-----------,C,-------,SD,---------,No,SD,M,M,25-29,C,No
7793,HD M,Tucumán,Burruyacú,2/5/2020,7:00:00,1,1,Vía pública,,Vía pública,Golpes,Politraumatismo,No,,M,M,-----------,SD,-------,SD,---------,No,45-49,M,M,30-34,C,No
7794,HD M,Tucumán,Capital,3/5/2020,21:00:00,1,2,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,SD,---------,Otras relaciones no familiares,20-24,M,M,SD,C,Otras relaciones no familiares
7795,HD M,Tucumán,Capital,4/5/2020,14:45:00,1,1,Vía pública,,Vía pública,Otra arma o mecanismo,Empujan para hacer perder el equilibrio,Sí robo,,M,M,-----------,C,-------,SD,---------,SD,45-49,M,M,SD,C,SD
7796,HD M,Tucumán,Capital,10/5/2020,5:20:00,1,1,Vía pública,,Vía pública,Golpes,,Si otro delito,Lesiones,M,M,-----------,C,-------,SD,---------,No,25-29,M,M,SD,C,No
7797,HD M,Tucumán,Chicligasta,12/5/2020,0:00:00,1,1,Domicilio particular,,Domicilio particular,Arma de fuego,,Si otro delito,Lesiones,M,M,-----------,C,-------,SD,---------,No,25-29,M,M,SD,C,No
7798,HD M,Tucumán,Capital,13/5/2020,18:30:00,1,1,Vía pública,,Vía pública,Arma de fuego,,Sí robo,,M,M,-----------,C,-------,SD,---------,No,30-34,M,M,SD,C,No
7799,HD F Cis Trans Travesti-Femicidio,Tucumán,Monteros,20/5/2020,18:30:00,1,1,Domicilio particular,,Domicilio particular,Arma de fuego,,No,Femicidio,F,F,-----------,C,-------,SD,---------,Conyuge/ pareja,40-44,M,M,50-54,C,Conyuge/ pareja
7800,HD M,Tucumán,Simoca,15/5/2020,0:00:00,1,1,Vía pública,,Vía pública,Arma de fuego,,Si otro delito,Atentado y resistencia a la autoridad,M,M,-----------,C,-------,SD,---------,SD,SD,M,M,SD,Policía en servicio,SD
7801,HD M,Tucumán,Capital,24/5/2020,22:00:00,1,1,Vía pública,,Vía pública,Arma blanca,,No,,M,M,-----------,C,-------,SD,---------,Otros vínculos familiares,20-24,M,M,SD,C,Otros vínculos familiares
7802,HD M,Tucumán,Trancas,25/5/2020,10:00:00,1,1,Domicilio particular,,Domicilio particular,Arma blanca,,No,,M,M,-----------,C,-------,SD,---------,No,40-44,M,M,SD,C,No
7803,HD M,Tucumán,Lules,25/5/2020,0:00:00,1,1,Vía pública,,Vía pública,Arma blanca,,Si otro delito,Lesiones,M,M,-----------,C,-------,SD,---------,Otros vínculos familiares,25-29,M,M,35-39,C,Otros vínculos familiares
7804,HD M,Tucumán,Capital,26/5/2020,13:50:00,1,1,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,SD,---------,SD,15-19,M,M,SD,C,SD
7805,HD M,Tucumán,Tafí Viejo,28/5/2020,12:00:00,1,1,Vía pública,,Vía pública,Arma de fuego,,Sí robo,,M,M,-----------,C,-------,SD,---------,SD,15-19,SD,SD,SD,C,SD
7806,HD M,Tucumán,Capital,28/5/2020,22:30:00,1,1,Domicilio particular,,Domicilio particular,Arma de fuego,,Sí robo,,M,M,-----------,C,-------,SD,---------,SD,55-59,M,M,SD,C,SD
7807,HD M,Salta,Orán,24/2/2021,0:15:00,2,1,Vía pública,,Vía pública,SD,,No,,M,M,-----------,C,-------,Trabajador cuenta propia,---------,Otras relaciones no familiares,25-29,M,M,SD,C,Otras relaciones no familiares
7808,HD F Cis Trans Travesti-Otro homicidio,Salta,Capital,7/3/2021,3:00:00,1,1,Domicilio particular,,Domicilio particular,Arma blanca,,Sí robo,,F,F,-----------,C,-------,Trabajador/a sexual,---------,SD,25-29,M,M,15-19,C,SD
7809,HD M,Salta,Rosario de la Frontera,28/3/2021,19:00:00,1,1,Vía pública,,Vía pública,Arma blanca,,No,,M,M,-----------,C,-------,Trabajador cuenta propia,---------,Otras relaciones no familiares,40-44,M,M,20-24,C,Otras relaciones no familiares
7810,HD M,Córdoba,Calamuchita,2/1/2020,18:00:00,1,1,Vía pública,,Vía pública,Golpes,,No,,M,M,-----------,C,-------,Changarín,---------,SD,50-54,M,M,20-24,C,SD
