id_hecho;tipo_hecho;provincia_nombre;departamento_nombre;fecha_hecho;hora_hecho;cant_inculpados;cant_victimas;tipo_lugar;tipo_lugar_otro;tipo_lugar_ampliado;clase_arma;clase_arma_otro;en_ocasion_otro_delito;en_ocasion_otro_delito_otro;victima_sexo;victima_identidad_genero;victima_identidad_genero_otro;victima_clase;victima_clase_otro;victima_situacion_ocupacional;victima_situacion_ocupacional_otro;victima_relacion;victima_edad;inculpado_sexo;inculpado_identidad_genero;inculpado_edad;inculpado_clase;inculpado_relacion
25030;HD M;Buenos Aires;La Matanza;7/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma de fuego;;No;;M;M;-----------;Civil;-------;SD;---------;SD;20-24;SD;SD;SD;Civil;SD
25031;HD M;Buenos Aires;San Fernando;7/12/2020;11:11:11;1;1;SD;;SD;Arma de fuego;;No;;M;M;-----------;Civil;-------;SD;---------;Otras relaciones no familiares;15-19;M;M;15-19;Civil;Otras relaciones no familiares
25032;HD F Cis Trans Travesti-Otro homicidio;Buenos Aires;Lanús;8/12/2020;11:11:11;1;1;Domicilio particular;;Domicilio particular;SD;;SD;;F;F;-----------;Civil;-------;Jubilado/pensionado;---------;SD;90 y más;M;M;15-19;Civil;SD
25033;HD M;Buenos Aires;General San Martín;8/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma de fuego;;No;;M;M;-----------;Civil;-------;SD;---------;SD;20-24;M;M;20-24;Civil;SD
25034;HD M;Buenos Aires;Quilmes;8/12/2020;11:11:11;2;1;Domicilio particular;;Domicilio particular;Arma de fuego;;No;;M;M;-----------;Civil;-------;SD;---------;SD;30-34;M;M;40-44;Civil;SD
25035;HD M;Buenos Aires;Avellaneda;9/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma de fuego;;No;;M;M;-----------;Civil;-------;SD;---------;Otras relaciones no familiares;30-34;M;M;30-34;Civil;Otras relaciones no familiares
25036;HD F Cis Trans Travesti-Femicidio;Buenos Aires;Saladillo;10/12/2020;11:11:11;1;1;Domicilio particular;;Domicilio particular;Arma de fuego;;No;;F;F;-----------;Civil;-------;Ama de casa;---------;Conyuge/ pareja;50-54;M;M;55-59;Civil;Conyuge/ pareja
25037;HD M;Buenos Aires;Esteban Echeverría;11/12/2020;11:11:11;1;1;Domicilio particular;;Domicilio particular;Arma de fuego;;SD;;M;M;-----------;Civil;-------;SD;---------;SD;40-44;M;M;70-74;Civil;SD
25038;HD F Cis Trans Travesti-Otro homicidio;Buenos Aires;Florencio Varela;11/12/2020;11:11:11;2;1;Vía pública;;Vía pública;Arma de fuego;;No;;F;F;-----------;Civil;-------;Empleado de otros sectores;---------;No;40-44;M;M;SD;Civil;No
25039;HD M;Buenos Aires;Lanús;12/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma blanca;;No;;M;M;-----------;Civil;-------;SD;---------;Otras relaciones no familiares;20-24;M;M;15-19;Civil;Otras relaciones no familiares
25040;HD M;Buenos Aires;Esteban Echeverría;12/12/2020;11:11:11;1;1;Domicilio particular;;Domicilio particular;Arma de fuego;;Sí robo;;M;M;-----------;Civil;-------;SD;---------;No;30-34;M;M;30-34;Otra fuerza de seguridad;No
25041;HD M;Buenos Aires;Quilmes;12/12/2020;11:11:11;2;1;Vía pública;;Vía pública;Arma blanca;;No;;M;M;-----------;Civil;-------;SD;---------;SD;15-19;M;M;15-19;Civil;SD
25042;HD M;Buenos Aires;Almirante Brown;12/12/2020;11:11:11;1;1;Domicilio particular;;Domicilio particular;Arma de fuego;;Sí robo;;M;M;-----------;Civil;-------;SD;---------;No;25-29;M;M;SD;Civil;No
25043;HD M;Buenos Aires;Florencio Varela;12/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma blanca;;No;;M;M;-----------;Civil;-------;SD;---------;Otras relaciones no familiares;25-29;M;M;20-24;Civil;Otras relaciones no familiares
25044;HD M;Buenos Aires;Merlo;12/12/2020;11:11:11;1;1;Otro lugar;;Bar/ Boliche/Salón de fiestas/Fiesta;Arma blanca;;No;;M;M;-----------;Civil;-------;SD;---------;SD;20-24;M;M;20-24;Civil;SD
25045;HD M;Buenos Aires;José C. Paz;13/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma de fuego;;Sí robo;;M;M;-----------;Civil;-------;SD;---------;No;20-24;M;M;40-44;Otra fuerza de seguridad;No
25046;HD F Cis Trans Travesti-Otro homicidio;Buenos Aires;La Matanza;13/12/2020;11:11:11;1;1;Domicilio particular;;Domicilio particular;Arma blanca;;No;;F;F;-----------;Civil;-------;Ama de casa;---------;Ex conyuge / ex pareja;20-24;F;F;25-29;Civil;Ex conyuge / ex pareja
25047;HD M;Buenos Aires;La Plata;13/12/2020;11:11:11;2;1;Otro lugar;;Campo/descampado/zona rural;Arma de fuego;;Sí robo;;M;M;-----------;Civil;-------;SD;---------;No;25-29;M;M;55-59;Civil;No
25048;HD M;Buenos Aires;San Vicente;13/12/2020;11:11:11;1;1;Domicilio particular;;Domicilio particular;SD;;No;;M;M;-----------;Civil;-------; - Menor;---------;Otros vínculos familiares;4 o menos;M;M;40-44;Civil;Otros vínculos familiares
25049;HD M;Buenos Aires;General Pueyrredón;13/12/2020;11:11:11;1;1;Vía pública;;Vía pública;SD;;No;;M;M;-----------;Civil;-------;SD;---------;SD;25-29;M;M;25-29;Civil;SD
