id_hecho;tipo_hecho_segun_victima;provincia_nombre;fecha_hecho;hora_hecho;tipo_lugar;tipo_lugar_otro;tipo_lugar_ampliado;clase_arma;clase_arma_otro;en_ocasion_otro_delito;en_ocasion_otro_delito_otro;victima_sexo;victima_identidad_genero;victima_identidad_genero_otro;victima_tr_edad;victima_mayor;victima_relacion;victima_situacion_ocupacional;inculpado_sexo;inculpado_tr_edad;inculpado_mayor
18745;HD Varón;Corrientes;12/5/2019;09:00:00;Vía pública;;Vía pública;Arma de fuego;;Si otro delito;Riña seguida de homicidio;No corresponde;Varón;-----------;No corresponde;Sí;Otras relaciones no familiares;Sin Determinar;No corresponde;No corresponde;Sí
18746;HD Varón;Corrientes;4/2/2019;21:00:00;Domicilio particular;;Domicilio particular;Sin determinación;;Sin determinación;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Otras relaciones no familiares;No corresponde;No corresponde;Sin determinar;Sin determinar
18747;HD Varón;Catamarca;23/4/2019;10:00:00;Domicilio particular;;Domicilio particular;Objeto contundente;;Sí robo;;No corresponde;Varón;-----------;No corresponde;Sí;Sin relación;Sin Determinar;No corresponde;No corresponde;Sí
18748;HD Mujer Cis Trans Travesti-Femicidio;Misiones;7/5/2019;06:00:00;Domicilio particular;;Domicilio particular;Objeto contundente;Martillo;No fue en ocasión de otro delito;;No corresponde;No corresponde;-----------;No corresponde;Sí;No corresponde;No corresponde;No corresponde;No corresponde;Sí
18749;HD Varón;Mendoza;17/7/2019;10:23:00;Vía pública;;Vía pública;Objeto contundente;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Otras relaciones no familiares;No corresponde;No corresponde;No corresponde;Sí
18750;HD Varón;Mendoza;23/7/2019;22:49:00;Domicilio particular;;Domicilio particular;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Otras relaciones no familiares;Sin Determinar;No corresponde;No corresponde;Sí
18751;HD Varón;Mendoza;27/7/2019;04:21:00;Vía pública;;Vía pública;Arma blanca;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;Sin determinar;Sin determinar;Sin determinar
18752;HD Varón;Mendoza;31/7/2019;22:50:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Otras relaciones no familiares;Sin Determinar;No corresponde;No corresponde;Sí
18753;HD Varón;Entre Ríos;6/6/2019;11:11:11;Domicilio particular;;Domicilio particular;Objeto contundente;;Sin determinación;;No corresponde;Varón;-----------;No corresponde;Sí;No corresponde;Trabajador cuenta propia;No corresponde;No corresponde;Sí
18754;HD Varón;Entre Ríos;15/6/2019;03:25:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Sin relación;No corresponde;No corresponde;No corresponde;Sí
18755;HD Varón;Entre Ríos;19/6/2019;13:20:00;Domicilio particular;;Domicilio particular;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Otros vínculos familiares;Sin Determinar;No corresponde;No corresponde;Sí
18756;HD Varón;Entre Ríos;8/6/2019;02:50:00;Vía pública;;Vía pública;Arma blanca;;Sin determinación;;No corresponde;Varón;-----------;No corresponde;Sí;Otras relaciones no familiares;No corresponde;No corresponde;No corresponde;Sí
18757;HD Varón;Entre Ríos;22/6/2019;08:00:00;Vía pública;;Vía pública;Arma blanca;;Sin determinación;;No corresponde;Varón;-----------;No corresponde;Sí;Sin determinación;No corresponde;No corresponde;No corresponde;Sí
18761;HD Mujer Cis Trans Travesti-Femicidio;Santa Fe;27/6/2019;01:40:00;Domicilio particular;;Domicilio particular;Arma blanca;;No fue en ocasión de otro delito;;No corresponde;No corresponde;-----------;No corresponde;No corresponde;Otros vínculos familiares;Sin Determinar;No corresponde;No corresponde;No corresponde
18762;HD Varón;Santa Fe;8/6/2019;07:15:00;Vía pública;;Vía pública;Golpes;;Si otro delito;Riña;No corresponde;Varón;-----------;No corresponde;Sí;Otras relaciones no familiares;Sin Determinar;No corresponde;No corresponde;Sí
18763;HD Varón;Santa Fe;28/6/2019;14:30:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Sin determinación;Sin Determinar;No corresponde;No corresponde;Sí
